HEADER
LISTA DEL SORTEO EXTRAORDINARIO NO. 403
|PRIMER PREMIO 77086 ||| SEGUNDO PREMIO 21860 ||| TERCER PREMIO 46372|
REINTEGROS 6,0 ,2
FECHA DEL SORTEO: 16/08/2025 --- FECHA DE CADUCIDAD: 16/02/2026
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00086 TT .... 1,200.00
00116 PR .... 8,150.00
NO VENDIDO
00186 DT .... 600.00
00271 P .... 600.00
00286 DT .... 600.00
00331 P .... 1,200.00
00333 P .... 1,300.00
00372 TT .... 900.00
00386 DT .... 600.00
00486 DT .... 600.00
00586 DT .... 600.00
00686 DT .... 600.00
00777 P .... 800.00
00786 DT .... 600.00
00860 TT .... 1,000.00
00870 PR .... 950.00
00886 DT .... 600.00
00986 DT .... 600.00

MIL
01086 TT .... 1,200.00
01088 P .... 600.00
01186 DT .... 600.00
01187 P .... 600.00
01286 DT .... 600.00
01366 PR .... 8,150.00
VENDIDO POR OSCAR HUMBERTO HERNÁNDEZ ROSAL, DE ESTA CAPITAL
01372 TT .... 900.00
01386 DT .... 600.00
01486 DT .... 600.00
01531 P .... 600.00
01586 DT .... 600.00
01686 DT .... 600.00
01786 DT .... 600.00
01860 TT .... 1,000.00
01886 DT .... 600.00
01941 P .... 1,300.00
01986 DT .... 600.00

DOS MIL
02086 TT .... 1,200.00
02145 P .... 1,200.00
02152 PR .... 750.00
02186 DT .... 600.00
02286 DT .... 600.00
02350 PR .... 8,150.00
VENDIDO POR BLANCA LISSETTE DIAZ DE PIRIR, DE ESTA CAPITAL
02372 TT .... 900.00
02386 DT .... 600.00
02486 DT .... 600.00
02559 P .... 800.00
02586 DT .... 600.00
02631 P .... 800.00
02636 PR .... 750.00
02686 DT .... 600.00
02786 DT .... 600.00
02860 TT .... 1,000.00
02885 P .... 800.00
02886 DT .... 600.00
02960 PR .... 1,350.00
02983 P .... 2,000.00
VENDIDO POR MARÍA AGUSTINA CANÓN JACOBO, DE ESTA CAPITAL
02986 DT .... 600.00

TRES MIL
03051 P .... 1,200.00
03086 TT .... 1,200.00
03186 DT .... 600.00
03286 DT .... 600.00
