HEADER
LISTA DEL SORTEO EXTRAORDINARIO NO. 411
|PRIMER PREMIO 46502 ||| SEGUNDO PREMIO 21676 ||| TERCER PREMIO 11390|
REINTEGROS 2,6 ,0
FECHA DEL SORTEO: 09/05/2026 --- FECHA DE CADUCIDAD: 09/11/2026
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00002 DT .... 600.00
00102 DT .... 600.00
00112 PR .... 950.00
00202 DT .... 600.00
00302 DT .... 600.00
00390 TT .... 900.00
00402 DT .... 600.00
00502 TT .... 1,200.00
00602 DT .... 600.00
00625 P .... 5,000.00
VENDIDO POR JOSUÉ ISRAEL CHIROY LOPEZ, DE ESTA CAPITAL
00676 TT .... 1,000.00
00702 DT .... 600.00
00802 DT .... 600.00
00833 P .... 600.00
00902 DT .... 600.00
00981 P .... 800.00

MIL
01002 DT .... 600.00
01023 P .... 1,200.00
01102 DT .... 600.00
01202 DT .... 600.00
01284 P .... 800.00
01302 DT .... 600.00
01381 P .... 1,300.00
01390 TT .... 900.00
01402 DT .... 600.00
01429 P .... 1,200.00
01502 TT .... 1,200.00
01602 DT .... 600.00
01676 TT .... 1,000.00
01688 P .... 600.00
01702 DT .... 600.00
01792 PR .... 750.00
01802 DT .... 600.00
01902 DT .... 600.00

DOS MIL
02002 DT .... 600.00
02020 PR .... 750.00
02053 P .... 1,300.00
02102 DT .... 600.00
02202 DT .... 600.00
02217 P .... 600.00
02302 DT .... 600.00
02390 TT .... 900.00
02402 DT .... 600.00
02502 TT .... 1,200.00
02602 DT .... 600.00
02676 TT .... 1,000.00
02702 DT .... 600.00
02742 PR .... 950.00
02802 DT .... 600.00
02902 DT .... 600.00
02991 P .... 1,300.00
02994 P .... 1,300.00

TRES MIL
03002 DT .... 600.00
03008 P .... 1,300.00
03102 DT .... 600.00
03202 DT .... 600.00
03302 DT .... 600.00
03390 TT .... 900.00
03402 DT .... 600.00
03502 TT .... 1,200.00
03602 DT .... 600.00
03676 TT .... 1,000.00
03702 DT .... 600.00
03802 DT .... 600.00
03823 P .... 600.00
03858 P .... 600.00
03902 DT .... 600.00

CUATRO MIL
04002 DT .... 600.00
