HEADER
LISTA DEL SORTEO EXTRAORDINARIO NO. 410
|PRIMER PREMIO 06857 ||| SEGUNDO PREMIO 12146 ||| TERCER PREMIO 31837|
REINTEGROS 7,6 ,7
FECHA DEL SORTEO: 11/04/2026 --- FECHA DE CADUCIDAD: 12/10/2026
VER LISTA DE COMBINACIONES

BODY
CENTENARES
06876 CR .... 1,350.00
06877 CDR .... 1,500.00
06878 C .... 1,200.00
06879 C .... 1,200.00
06880 C .... 1,200.00
06881 C .... 1,200.00
06882 C .... 1,200.00
06883 C .... 1,200.00
06884 C .... 1,200.00
06885 C .... 1,200.00
06886 CR .... 1,350.00
06887 CDR .... 1,500.00
06888 C .... 1,200.00
06889 C .... 1,200.00
06890 C .... 1,200.00
06891 C .... 1,200.00
06892 C .... 1,200.00
06893 C .... 1,200.00
06894 C .... 1,200.00
06895 C .... 1,200.00
06896 CR .... 1,350.00
06897 CDR .... 1,500.00
06898 C .... 1,200.00
06899 C .... 1,200.00
06900 C .... 1,200.00
06957 DTR .... 750.00

SIETE MIL
07057 DTR .... 750.00
07146 TT .... 1,000.00
07157 DTR .... 750.00
07257 DTR .... 750.00
07285 P .... 800.00
07357 DTR .... 750.00
07457 DTR .... 750.00
07557 DTR .... 750.00
07657 DTR .... 750.00
07683 P .... 600.00
07757 DTR .... 750.00
07837 TTR .... 1,050.00
07857 TTR .... 1,350.00
07957 DTR .... 750.00

OCHO MIL
08038 P .... 800.00
08057 DTR .... 750.00
08146 TT .... 1,000.00
08157 DTR .... 750.00
08257 DTR .... 750.00
08357 DTR .... 750.00
08402 P .... 600.00
08457 DTR .... 750.00
08557 DTR .... 750.00
08657 DTR .... 750.00
08757 DTR .... 750.00
08837 TTR .... 1,050.00
08857 TTR .... 1,350.00
08864 P .... 600.00
08957 DTR .... 750.00

NUEVE MIL
09057 DTR .... 750.00
09146 TT .... 1,000.00
09157 DTR .... 750.00
09225 P .... 1,300.00
09257 DTR .... 750.00
09357 DTR .... 750.00
09457 DTR .... 750.00
09557 DTR .... 750.00
09561 P .... 1,300.00
09657 DTR .... 750.00
09757 DTR .... 750.00
09768 P .... 800.00
09771 P .... 1,200.00
09837 TTR .... 1,050.00
09857 TTR .... 1,350.00
09957 DTR .... 750.00

DIEZ MIL
10057 DTR .... 750.00
10146 TT .... 1,000.00
10157 DTR .... 750.00
10169 P .... 600.00
10257 DTR .... 750.00
10357 DTR .... 750.00
10457 DTR .... 750.00
10557 DTR .... 750.00
10625 P .... 2,000.00
VENDIDO POR DIEGO MALDONADO LUX, DE ESTA CAPITAL
10657 DTR .... 750.00
10757 DTR .... 750.00
10759 P .... 600.00
10837 TTR .... 1,050.00
10840 P .... 800.00
10857 TTR .... 1,350.00
10957 DTR .... 750.00

ONCE MIL
11016 PR .... 750.00
11057 DTR .... 750.00
11076 PR .... 950.00
11146 TT .... 1,000.00
11157 DTR .... 750.00
11215 P .... 800.00
11219 P .... 1,200.00
11257 DTR .... 750.00
11357 PDTR .... 2,050.00
VENDIDO POR OSCAR ARMANDO BATRES, DE ESTA CAPITAL
11457 DTR .... 750.00
11557 DTR .... 750.00
11657 DTR .... 750.00
11757 DTR .... 750.00
11837 TTR .... 1,050.00
11857 TTR .... 1,350.00
11957 DTR .... 750.00

DOCE MIL
12057 DTR .... 750.00
12101 C .... 1,000.00
12102 C .... 1,000.00
12103 C .... 1,000.00
12104 C .... 1,000.00
12105 C .... 1,000.00
12106 CR .... 1,150.00
12107 CDR .... 1,300.00
12108 C .... 1,000.00
12109 C .... 1,000.00
12110 C .... 1,000.00
12111 C .... 1,000.00
12112 C .... 1,000.00
12113 C .... 1,000.00
12114 C .... 1,000.00
12115 C .... 1,000.00
12116 CR .... 1,150.00
12117 CDR .... 1,300.00
12118 C .... 1,000.00
12119 C .... 1,000.00
12120 C .... 1,000.00
12121 C .... 1,000.00
12122 C .... 1,000.00
12123 C .... 1,000.00
12124 C .... 1,000.00
12125 C .... 1,000.00
12126 CR .... 1,150.00
12127 CDR .... 1,300.00
12128 C .... 1,000.00
12129 C .... 1,000.00
12130 C .... 1,000.00
12131 C .... 1,000.00
