HEADER
LISTA DEL SORTEO ORDINARIO NO. 3056
|PRIMER PREMIO 53696 ||| SEGUNDO PREMIO 75748 ||| TERCER PREMIO 02569|
REINTEGROS 6,8 ,9
FECHA DEL SORTEO: 31/08/2024 --- FECHA DE CADUCIDAD: 28/02/2025
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00259 PR .... 2,570.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL MIRIAM MARLENY VILLATORO GALICIA, DE ESTA CAPITAL
00440 P .... 700.00
00569 TT .... 500.00
00696 TT .... 700.00
00725 P .... 600.00
00748 TT .... 600.00

00MIL
01449 PR .... 670.00
01521 P .... 600.00
01569 TT .... 500.00
01576 PR .... 2,070.00
VENDIDO POR LÚCAS MORALES IGÜIT, DE ESTA CAPITAL
01696 TT .... 700.00
01701 P .... 600.00
01748 TT .... 600.00
01908 PR .... 1,070.00
01920 P .... 700.00
01922 P .... 5,000.00
VENDIDO POR BRIGITTE IVON MORALES CIFUENTES, DE ESTA CAPITAL
01973 P .... 600.00

DOS MIL
02185 P .... 700.00
02229 PR .... 670.00
02252 P .... 600.00
02254 P .... 1,000.00
02299 PR .... 770.00
02501 C .... 500.00
02502 C .... 500.00
02503 C .... 500.00
02504 C .... 500.00
02505 C .... 500.00
02506 CR .... 570.00
02507 C .... 500.00
02508 CR .... 570.00
02509 CR .... 570.00
02510 C .... 500.00
02511 C .... 500.00
02512 C .... 500.00
02513 C .... 500.00
02514 C .... 500.00
02515 C .... 500.00
02516 CR .... 570.00
02517 C .... 500.00
02518 CR .... 570.00
02519 CR .... 570.00
02520 C .... 500.00
02521 C .... 500.00
02522 C .... 500.00
02523 C .... 500.00
02524 C .... 500.00
02525 C .... 500.00
02526 CR .... 570.00
02527 C .... 500.00
02528 CR .... 570.00
02529 CR .... 570.00
02530 C .... 500.00
02531 C .... 500.00
02532 C .... 500.00
02533 C .... 500.00
02534 C .... 500.00
02535 C .... 500.00
02536 CR .... 570.00
02537 C .... 500.00
02538 CR .... 570.00
02539 CR .... 570.00
02540 C .... 500.00
02541 C .... 500.00
02542 C .... 500.00
02543 C .... 500.00
