HEADER
LISTA DEL SORTEO ORDINARIO NO. 3126
|PRIMER PREMIO 56620 ||| SEGUNDO PREMIO 02763 ||| TERCER PREMIO 53284|
REINTEGROS 0,3 ,4
FECHA DEL SORTEO: 20/06/2026 --- FECHA DE CADUCIDAD: 21/12/2026
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00113 PR .... 770.00
00127 P .... 1,000.00
00281 P .... 600.00
00284 TT .... 500.00
00328 P .... 600.00
00620 TT .... 700.00
00712 P .... 2,500.00
VENDIDO POR GUSTAVO ADOLFO CARDONA SUNUN, DE RETALHULEU, RETALHULEU
00763 TT .... 600.00
00823 PR .... 670.00
00922 P .... 600.00
00968 P .... 600.00

MIL
01284 TT .... 500.00
01318 P .... 700.00
01326 P .... 700.00
01355 P .... 2,000.00
NO VENDIDO
01620 TT .... 700.00
01637 P .... 700.00
01763 TT .... 600.00
01797 P .... 600.00
01856 P .... 2,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL BELZAR ORELLANA Y ORELLANA, DE GUASTATOYA, EL PROGRESO
01977 P .... 1,000.00

DOS MIL
02107 P .... 700.00
02115 P .... 2,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL WALTER GIOVANY HERNÁNDEZ CASTILLO, DE AMATITLÁN, GUATEMALA
02260 PR .... 670.00
02284 TT .... 500.00
02620 TT .... 700.00
02701 C .... 600.00
02702 C .... 600.00
02703 CR .... 670.00
02704 CR .... 670.00
02705 C .... 600.00
02706 C .... 600.00
02707 C .... 600.00
02708 C .... 600.00
02709 C .... 600.00
02710 CR .... 670.00
02711 C .... 600.00
02712 C .... 600.00
02713 CR .... 670.00
02714 CR .... 670.00
02715 C .... 600.00
02716 C .... 600.00
02717 C .... 600.00
02718 C .... 600.00
02719 C .... 600.00
02720 CR .... 670.00
02721 C .... 600.00
02722 C .... 600.00
02723 CR .... 670.00
02724 CR .... 670.00
02725 C .... 600.00
02726 C .... 600.00
02727 C .... 600.00
02728 C .... 600.00
02729 C .... 600.00
02730 CR .... 670.00
02731 C .... 600.00
02732 C .... 600.00
02733 CR .... 670.00
02734 CR .... 670.00
