HEADER
LISTA DEL SORTEO EXTRAORDINARIO NO. 409
|PRIMER PREMIO 28301 ||| SEGUNDO PREMIO 44022 ||| TERCER PREMIO 46747|
REINTEGROS 1,2 ,7
FECHA DEL SORTEO: 07/03/2026 --- FECHA DE CADUCIDAD: 07/09/2026
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00001 DT .... 600.00
00022 TT .... 1,000.00
00101 DT .... 600.00
00201 DT .... 600.00
00267 PR .... 750.00
00273 P .... 800.00
00301 TT .... 1,200.00
00401 DT .... 600.00
00501 DT .... 600.00
00516 P .... 800.00
00601 DT .... 600.00
00701 DT .... 600.00
00738 P .... 800.00
00747 TT .... 900.00
00801 DT .... 600.00
00901 DT .... 600.00

MIL
01001 DT .... 600.00
01022 TT .... 1,000.00
01101 DT .... 600.00
01201 DT .... 600.00
01301 TT .... 1,200.00
01401 DT .... 600.00
01501 DT .... 600.00
01601 DT .... 600.00
01701 DT .... 600.00
01747 TT .... 900.00
01767 PR .... 950.00
01801 DT .... 600.00
01901 DT .... 600.00
01950 P .... 800.00

DOS MIL
02001 DT .... 600.00
02022 TT .... 1,000.00
02101 DT .... 600.00
02141 PR .... 950.00
02201 DT .... 600.00
02301 TT .... 1,200.00
02310 P .... 800.00
02401 DT .... 600.00
02501 DT .... 600.00
02601 DT .... 600.00
02701 DT .... 600.00
02747 TT .... 900.00
02801 DT .... 600.00
02901 DT .... 600.00

TRES MIL
03001 DT .... 600.00
03022 TT .... 1,000.00
03101 DT .... 600.00
03201 DT .... 600.00
03301 TT .... 1,200.00
03401 DT .... 600.00
03417 PR .... 8,150.00
VENDIDO POR CARLOS FERNANDO AGUARE YAT, DE ANTIGUA GUATEMALA, SACATEPÉQUEZ
03501 DT .... 600.00
03572 PR .... 950.00
03601 DT .... 600.00
03661 PR .... 950.00
03668 P .... 800.00
03701 DT .... 600.00
03747 TT .... 900.00
03801 DT .... 600.00
03831 PR .... 750.00
03846 P .... 1,300.00
03901 DT .... 600.00
03919 P .... 1,200.00

CUATRO MIL
04001 DT .... 600.00
04013 P .... 1,300.00
04022 TT .... 1,000.00
04101 DT .... 600.00
