HEADER
LISTA DEL SORTEO EXTRAORDINARIO NO. 399
|PRIMER PREMIO 19145 ||| SEGUNDO PREMIO 02333 ||| TERCER PREMIO 74725|
REINTEGROS 5,3 ,5
FECHA DEL SORTEO: 05/04/2025 --- FECHA DE CADUCIDAD: 06/10/2025
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00045 DTR .... 750.00
00063 PR .... 950.00
00145 TTR .... 1,350.00
00229 P .... 1,200.00
00245 DTR .... 750.00
00333 TT .... 1,000.00
00345 DTR .... 750.00
00445 DTR .... 750.00
00545 DTR .... 750.00
00592 P .... 1,300.00
00615 PDR .... 1,600.00
00645 DTR .... 750.00
00725 TTR .... 1,050.00
00745 DTR .... 750.00
00780 P .... 600.00
00845 DTR .... 750.00
00945 DTR .... 750.00

00MIL
01045 DTR .... 750.00
01145 TTR .... 1,350.00
01245 DTR .... 750.00
01333 TT .... 1,000.00
01345 DTR .... 750.00
01445 DTR .... 750.00
01545 DTR .... 750.00
01645 DTR .... 750.00
01690 P .... 1,200.00
01725 TTR .... 1,050.00
01745 DTR .... 750.00
01819 P .... 600.00
01845 DTR .... 750.00
01945 DTR .... 750.00

DOS MIL
02045 DTR .... 750.00
02059 P .... 600.00
02129 P .... 1,300.00
02131 P .... 1,200.00
02134 P .... 1,300.00
02145 TTR .... 1,350.00
02245 DTR .... 750.00
02278 P .... 600.00
02301 C .... 1,000.00
02302 C .... 1,000.00
02303 CR .... 1,150.00
02304 C .... 1,000.00
02305 CDR .... 1,300.00
02306 C .... 1,000.00
02307 C .... 1,000.00
02308 C .... 1,000.00
02309 C .... 1,000.00
02310 C .... 1,000.00
02311 C .... 1,000.00
02312 C .... 1,000.00
02313 CR .... 1,150.00
02314 C .... 1,000.00
02315 CDR .... 1,300.00
02316 C .... 1,000.00
02317 C .... 1,000.00
02318 C .... 1,000.00
02319 C .... 1,000.00
02320 C .... 1,000.00
02321 C .... 1,000.00
02322 C .... 1,000.00
02323 CR .... 1,150.00
02324 C .... 1,000.00
02325 CDR .... 1,300.00
02326 C .... 1,000.00
02327 C .... 1,000.00
02328 C .... 1,000.00
02329 C .... 1,000.00
