HEADER
LISTA DEL SORTEO ORDINARIO NO. 3131
|PRIMER PREMIO 20652 ||| SEGUNDO PREMIO 00607 ||| TERCER PREMIO 16548|
REINTEGROS 2,7 ,8
FECHA DEL SORTEO: 01/08/2026 --- FECHA DE CADUCIDAD: 01/02/2027
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00030 P .... 1,000.00
00061 P .... 800.00
00305 P .... 800.00
00548 TT .... 700.00
00601 C .... 800.00
00602 CR .... 900.00
00603 C .... 800.00
00604 C .... 800.00
00605 P .... 6,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL FREDY MARROQUÍN ARANA, DE ESTA CAPITAL
00606 P .... 6,000.00
VENDIDO POR WALFRE RANDOLFO CASTILLO LÓPEZ, DE OLINTEPEQUE, QUETZALTENANGO
00607 P .... 200,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL FRANCISCO GELACIO MARCIAL BASILIO, DE ESTA CAPITAL
00608 PR .... 6,100.00
VENDIDO POR MARIA LUISA GARRIDO RAMÍREZ, DE VILLA CANALES, GUATEMALA
00609 P .... 6,000.00
VENDIDO POR GUADALUPE CRISTINA PACHECO SOCH, DE ESTA CAPITAL
00610 C .... 800.00
00611 C .... 800.00
00612 CR .... 900.00
00613 C .... 800.00
00614 C .... 800.00
00615 C .... 800.00
00616 C .... 800.00
00617 CR .... 900.00
00618 CR .... 900.00
00619 C .... 800.00
00620 C .... 800.00
00621 C .... 800.00
00622 CR .... 900.00
00623 C .... 800.00
00624 C .... 800.00
00625 C .... 800.00
00626 C .... 800.00
00627 CR .... 900.00
00628 CR .... 900.00
00629 C .... 800.00
00630 C .... 800.00
00631 C .... 800.00
00632 CR .... 900.00
00633 C .... 800.00
00634 C .... 800.00
00635 C .... 800.00
00636 C .... 800.00
00637 CR .... 900.00
00638 CR .... 900.00
00639 C .... 800.00
00640 C .... 800.00
00641 C .... 800.00
00642 CR .... 900.00
00643 C .... 800.00
00644 C .... 800.00
00645 C .... 800.00
00646 C .... 800.00
00647 CR .... 900.00
00648 CR .... 900.00
00649 C .... 800.00
00650 C .... 800.00
00651 C .... 800.00
