HEADER
LISTA DEL SORTEO EXTRAORDINARIO NO. 412
|PRIMER PREMIO 11500 ||| SEGUNDO PREMIO 43078 ||| TERCER PREMIO 76689|
REINTEGROS 0,8 ,9
FECHA DEL SORTEO: 06/06/2026 --- FECHA DE CADUCIDAD: 07/12/2026
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00078 TT .... 1,000.00
00100 DT .... 600.00
00200 DT .... 600.00
00228 PR .... 750.00
00234 P .... 800.00
00248 PR .... 1,450.00
00300 DT .... 600.00
00400 DT .... 600.00
00490 PR .... 950.00
00500 TT .... 1,200.00
00600 DT .... 600.00
00689 TT .... 900.00
00700 DT .... 600.00
00800 DT .... 600.00
00897 P .... 1,300.00
00900 DT .... 600.00

MIL
01000 DT .... 600.00
01078 TT .... 1,000.00
01100 DT .... 600.00
01200 DT .... 600.00
01300 DT .... 600.00
01315 P .... 800.00
01400 DT .... 600.00
01500 TT .... 1,200.00
01600 DT .... 600.00
01689 TT .... 900.00
01700 DT .... 600.00
01800 DT .... 600.00
01900 DT .... 600.00
01951 P .... 1,300.00
01992 P .... 600.00

DOS MIL
02000 DT .... 600.00
02078 TT .... 1,000.00
02100 DT .... 600.00
02140 PR .... 950.00
02200 DT .... 600.00
02300 DT .... 600.00
02400 DT .... 600.00
02451 P .... 1,300.00
02497 P .... 600.00
02500 TT .... 1,200.00
02600 DT .... 600.00
02653 P .... 800.00
02689 TT .... 900.00
02699 PR .... 1,350.00
02700 DT .... 600.00
02783 P .... 2,000.00
VENDIDO POR PABLO SAJBIN VICENTE, DE MIXCO, GUATEMALA
02800 DT .... 600.00
02900 DT .... 600.00

TRES MIL
03000 DT .... 600.00
03032 P .... 600.00
03078 TT .... 1,000.00
03100 DT .... 600.00
03200 DT .... 600.00
03300 DT .... 600.00
03333 P .... 600.00
03400 DT .... 600.00
03500 TT .... 1,200.00
03519 PR .... 950.00
03548 PR .... 750.00
03600 DT .... 600.00
03633 P .... 8,000.00
VENDIDO POR ELIAS TOMÁS QUINO LOARCA, DE ESTA CAPITAL
03689 TT .... 900.00
03700 DT .... 600.00
03800 DT .... 600.00
