HEADER
LISTA DEL SORTEO EXTRAORDINARIO NO. 397
|PRIMER PREMIO 41906 ||| SEGUNDO PREMIO 74864 ||| TERCER PREMIO 65693|
REINTEGROS 6,4 ,3
FECHA DEL SORTEO: 01/02/2025 --- FECHA DE CADUCIDAD: 01/08/2025
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00006 DT .... 600.00
00106 DT .... 600.00
00206 DT .... 600.00
00306 DT .... 600.00
00406 DT .... 600.00
00506 DT .... 600.00
00606 DT .... 600.00
00635 P .... 800.00
00654 PR .... 8,150.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL EDUARDO AYALA, DE SANARATE, EL PROGRESO
00693 TT .... 900.00
00706 DT .... 600.00
00806 DT .... 600.00
00864 TT .... 1,000.00
00906 TT .... 1,200.00

00MIL
01006 DT .... 600.00
01009 P .... 1,200.00
01093 PR .... 750.00
01106 DT .... 600.00
01206 DT .... 600.00
01306 DT .... 600.00
01357 P .... 600.00
01406 DT .... 600.00
01490 P .... 1,300.00
01506 DT .... 600.00
01569 P .... 600.00
01606 DT .... 600.00
01693 TT .... 900.00
01706 DT .... 600.00
01756 PR .... 950.00
01806 DT .... 600.00
01854 PR .... 750.00
01864 TT .... 1,000.00
01906 TT .... 1,200.00

DOS MIL
02006 DT .... 600.00
02102 P .... 1,200.00
02106 DT .... 600.00
02206 DT .... 600.00
02306 DT .... 600.00
02406 DT .... 600.00
02506 DT .... 600.00
02606 DT .... 600.00
02693 TT .... 900.00
02706 DT .... 600.00
02760 P .... 600.00
02806 DT .... 600.00
02864 TT .... 1,000.00
02906 TT .... 1,200.00

TRES MIL
03006 DT .... 600.00
03106 DT .... 600.00
03178 P .... 800.00
03206 DT .... 600.00
03306 DT .... 600.00
03345 P .... 600.00
03406 DT .... 600.00
03506 DT .... 600.00
03606 DT .... 600.00
03693 TT .... 900.00
03706 DT .... 600.00
03806 DT .... 600.00
03864 TT .... 1,000.00
03906 TT .... 1,200.00

CUATRO MIL
04006 DT .... 600.00
04045 P .... 1,200.00
04074 PR .... 950.00
04106 DT .... 600.00
04164 PR .... 1,450.00
04206 DT .... 600.00
