HEADER
LISTA DEL SORTEO ORDINARIO NO. 3128
|PRIMER PREMIO 01655 ||| SEGUNDO PREMIO 35518 ||| TERCER PREMIO 48488|
REINTEGROS 5,8 ,8
FECHA DEL SORTEO: 04/07/2026 --- FECHA DE CADUCIDAD: 04/01/2027
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00080 P .... 2,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL CESAR AGUSTO CHINGO GARCIA, DE ESTA CAPITAL
00195 PR .... 2,570.00
VENDIDO POR JOSUÉ ISRAEL CHIROY LOPEZ, DE ESTA CAPITAL
00488 TTR .... 570.00
00518 TTR .... 670.00
00550 P .... 1,000.00
00655 TT .... 700.00
00834 P .... 3,000.00
VENDIDO POR YECENIA MARISOL MAZARIEGOS ARREAGA, DE QUETZALTENANGO, QUETZALTENANGO
00904 P .... 1,000.00

MIL
01488 TTR .... 570.00
01518 TTR .... 670.00
01584 P .... 600.00
01601 C .... 700.00
01602 C .... 700.00
01603 C .... 700.00
01604 C .... 700.00
01605 CR .... 770.00
01606 C .... 700.00
01607 C .... 700.00
01608 CDR .... 840.00
01609 C .... 700.00
01610 C .... 700.00
01611 C .... 700.00
01612 C .... 700.00
01613 C .... 700.00
01614 C .... 700.00
01615 CR .... 770.00
01616 C .... 700.00
01617 C .... 700.00
01618 CDR .... 840.00
01619 C .... 700.00
01620 C .... 700.00
01621 C .... 700.00
01622 C .... 700.00
01623 C .... 700.00
01624 C .... 700.00
01625 CR .... 770.00
01626 C .... 700.00
01627 C .... 700.00
01628 CDR .... 840.00
01629 C .... 700.00
01630 C .... 700.00
01631 C .... 700.00
01632 C .... 700.00
01633 C .... 700.00
01634 C .... 700.00
01635 CR .... 770.00
01636 C .... 700.00
01637 C .... 700.00
01638 CDR .... 840.00
01639 C .... 700.00
01640 C .... 700.00
01641 C .... 700.00
01642 C .... 700.00
01643 C .... 700.00
01644 C .... 700.00
01645 CR .... 770.00
01646 C .... 700.00
01647 C .... 700.00
01648 CDR .... 840.00
01649 C .... 700.00
01650 C .... 700.00
01651 C .... 700.00
01652 C .... 700.00
01653 P .... 5,000.00
