HEADER
LISTA DEL SORTEO ORDINARIO NO. 3085
|PRIMER PREMIO 36568 ||| SEGUNDO PREMIO 71693 ||| TERCER PREMIO 02141|
REINTEGROS 8,3 ,1
FECHA DEL SORTEO: 31/05/2025 --- FECHA DE CADUCIDAD: 01/12/2025
VER LISTA DE COMBINACIONES

BODY
CENTENARES
VENDIDO POR AURA VIOLETA LEPE LÓPEZ, DE SANTA CATARINA PINULA, GUATEMALA
12693 TT .... 600.00
12924 P .... 700.00

TRECE MIL
13141 TT .... 500.00
13568 TT .... 700.00
13693 TT .... 600.00
13747 P .... 1,000.00
13749 P .... 600.00
13817 P .... 2,500.00
VENDIDO POR FRANCI OTTONIEL ARDIANO MÉRIDA, DE COATEPEQUE, QUETZALTENANGO
13833 PR .... 770.00
13985 P .... 2,000.00
VENDIDO POR WALDER SAUL ESCOBAR OSORIO, DE EL PROGRESO, JUTIAPA

CATORCE MIL
14141 TT .... 500.00
14145 P .... 1,000.00
14193 PR .... 1,070.00
14245 P .... 700.00
14478 PR .... 670.00
14568 TT .... 700.00
14693 TT .... 600.00
14725 P .... 600.00
14776 P .... 2,000.00
VENDIDO POR ERNESTINA CHÉ, DE ESTA CAPITAL

QUINCE MIL
15141 TT .... 500.00
15268 PR .... 670.00
15568 TT .... 700.00
15681 PR .... 3,070.00
VENDIDO POR ESTEBAN TOMÁS SAJBIN, DE ESTA CAPITAL
15693 TT .... 600.00
15898 PR .... 1,070.00
15954 P .... 700.00

DIECISEIS MIL
16074 P .... 600.00
16078 PR .... 2,070.00
VENDIDO POR BONIFACIA DAVILA REVOLORIO DE ZABALA, DE ESTA CAPITAL
16141 TT .... 500.00
16568 TT .... 700.00
16580 P .... 600.00
16693 TT .... 600.00

DIECISIETE MIL
17011 PR .... 2,070.00
VENDIDO POR EDWIN ORLANDO ARDIANO MÉRIDA, DE COATEPEQUE, QUETZALTENANGO
17141 TT .... 500.00
17142 P .... 2,000.00
VENDIDO POR OSCAR HUMBERTO HERNÁNDEZ ROSAL, DE ESTA CAPITAL
17335 P .... 1,000.00
17568 TT .... 700.00
17576 P .... 1,000.00
17693 TT .... 600.00
17730 P .... 5,000.00
VENDIDO POR LUCAS SAJBÍN VICENTE, DE MIXCO, GUATEMALA
17752 P .... 700.00

DIECIOCHO MIL
18141 TT .... 500.00
18457 P .... 600.00
18568 TT .... 700.00
18693 TT .... 600.00
18995 P .... 700.00

DIECINUEVE MIL
19141 TT .... 500.00
19415 P .... 600.00
19488 PR .... 770.00
19568 TT .... 700.00
19676 P .... 2,000.00
VENDIDO POR YECENIA MARISOL MAZARIEGOS ARREAGA, DE QUETZALTENANGO, QUETZALTENANGO
19693 TT .... 600.00
19750 P .... 700.00

VEINTE MIL
20141 TT .... 500.00
20147 P .... 600.00
20299 P .... 600.00
20394 P .... 600.00
20500 P .... 600.00
20568 TT .... 700.00
20589 P .... 700.00
20634 P .... 700.00
20637 P .... 2,000.00
VENDIDO POR REINA PÉREZ MAZARIEGOS DE BARRIOS, DE ESTA CAPITAL
20693 TT .... 600.00
20744 P .... 700.00
20877 P .... 700.00

VEINTIUN MIL
21036 P .... 600.00
21141 TT .... 500.00
21227 P .... 700.00
21250 P .... 600.00
21412 P .... 700.00
21435 P .... 2,500.00
VENDIDO POR RAMMSÉS ULISES COLINDRES MONZÓN, DE ESTA CAPITAL
21568 TT .... 700.00
21638 PR .... 770.00
21693 TT .... 600.00
21836 P .... 700.00

VEINTIDOS MIL
22141 TT .... 500.00
22219 P .... 1,000.00
22513 PR .... 770.00
22568 TT .... 700.00
22693 TT .... 600.00

VEINTITRES MIL
23141 TT .... 500.00
23194 P .... 700.00
23493 PR .... 770.00
23509 P .... 600.00
23568 TT .... 700.00
23577 P .... 1,000.00
23693 TT .... 600.00
23717 P .... 700.00
23988 PR .... 770.00

VEINTICUATRO MIL
24044 P .... 5,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL RICARDO CORONADO GARCÍA, DE ESTA CAPITAL
24111 PR .... 770.00
24141 TT .... 500.00
24566 P .... 2,000.00
VENDIDO POR BRIGITTE IVON MORALES CIFUENTES, DE ESTA CAPITAL
24568 TT .... 700.00
24693 TT .... 600.00

VEINTICINCO MIL
25141 TT .... 500.00
25487 P .... 700.00
25544 P .... 700.00
25568 TT .... 700.00
25585 P .... 1,000.00
25693 TT .... 600.00
25765 P .... 1,000.00

VEINTISEIS MIL
26141 TT .... 500.00
26504 P .... 2,000.00
VENDIDO POR MARGARITA PETRONA REYNOSO DE LEÓN, DE ESTA CAPITAL
26568 TT .... 700.00
26693 TT .... 600.00
26986 P .... 5,000.00
VENDIDO POR BERI AGUSTIN ORTÍZ PEÑA, DE ESTA CAPITAL

VEINTISIETE MIL
27141 TT .... 500.00
27200 P .... 700.00
27515 P .... 600.00
27568 TT .... 700.00
27693 TT .... 600.00
27929 P .... 700.00

VEINTIOCHO MIL
28141 TT .... 500.00
28274 P .... 5,000.00
VENDIDO POR LUIS ANTONIO MARROQUIN DOMINGUEZ, DE ESTA CAPITAL
28424 P .... 2,000.00
VENDIDO POR BERTA ALICIA JACINTO RUANO DE HERNÁNDEZ, DE JALAPA, JALAPA
28538 PR .... 2,570.00
VENDIDO POR YECENIA MARISOL MAZARIEGOS ARREAGA, DE QUETZALTENANGO, QUETZALTENANGO
28568 TT .... 700.00
28658 PR .... 770.00
28693 TT .... 600.00
28703 PR .... 670.00

VEINTINUEVE MIL
29022 P .... 700.00
29137 P .... 2,500.00
VENDIDO POR JOSÉ IGNACIO AVILA ELEL, DE CHIMALTENANGO, CHIMALTENANGO
29141 TT .... 500.00
29178 PR .... 770.00
29246 P .... 600.00
29559 P .... 2,000.00
NO VENDIDO
29568 TT .... 700.00
29693 TT .... 600.00
29897 P .... 600.00
29902 P .... 2,000.00
VENDIDO POR IRIS MARISOL CORDÓN SANDOVAL, DE ZACAPA, ZACAPA

TREINTA MIL
30133 PR .... 2,070.00
VENDIDO POR OMAR DE JESÚS AVILA IPIÑA, DE GUALÁN, ZACAPA
30141 TT .... 500.00
30422 P .... 700.00
30568 TT .... 700.00
30632 P .... 600.00
30693 TT .... 600.00

TREINTA Y UN MIL
31141 TT .... 500.00
31166 P .... 600.00
31369 P .... 600.00
31568 TT .... 700.00
31675 P .... 700.00
31693 TT .... 600.00

TREINTA Y DOS MIL
32035 P .... 700.00
32141 TT .... 500.00
32568 TT .... 700.00
32693 TT .... 600.00
32974 P .... 600.00

TREINTA Y TRES MIL
33080 P .... 1,000.00
33141 TT .... 500.00
33265 P .... 700.00
33323 PR .... 670.00
33406 P .... 600.00
33555 P .... 600.00
33568 TT .... 700.00
33693 TT .... 600.00

TREINTA Y CUATRO MIL
34141 TT .... 500.00
34166 P .... 1,000.00
34568 TT .... 700.00
34615 P .... 2,500.00
VENDIDO POR TERESO AJCOT MALDONADO, DE ESTA CAPITAL
34693 TT .... 600.00

TREINTA Y CINCO MIL
35000 P .... 5,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL AURA MARINA AGUILAR LÓPEZ, DE MIXCO, GUATEMALA
35141 TT .... 500.00
35372 P .... 2,000.00
VENDIDO POR VICTOR MANUEL LOZZI MORALES, DE MIXCO, GUATEMALA
35568 TT .... 700.00
35686 P .... 700.00
35693 TT .... 600.00
35817 P .... 2,500.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL GERMAN PEREZ, DE SANTA LUCÍA COTZUMALGUAPA, ESCUINTLA
35930 P .... 1,000.00

TREINTA Y SEIS MIL
36024 P .... 600.00
36041 PR .... 1,070.00
36141 TT .... 500.00
36349 P .... 2,000.00
VENDIDO POR JUAN LOPEZ BARRIOS, DE ESTA CAPITAL
36403 PR .... 670.00
36501 CR .... 770.00
36502 C .... 700.00
36503 CR .... 770.00
36504 C .... 700.00
36505 C .... 700.00
36506 C .... 700.00
36507 C .... 700.00
36508 CR .... 770.00
36509 C .... 700.00
36510 C .... 700.00
36511 CR .... 770.00
36512 C .... 700.00
36513 CR .... 770.00
36514 C .... 700.00
36515 C .... 700.00
36516 C .... 700.00
36517 C .... 700.00
36518 CR .... 770.00
36519 C .... 700.00
36520 C .... 700.00
36521 CR .... 770.00
36522 C .... 700.00
36523 CR .... 770.00
36524 C .... 700.00
36525 C .... 700.00
36526 C .... 700.00
36527 C .... 700.00
36528 CR .... 770.00
36529 C .... 700.00
36530 C .... 700.00
36531 CR .... 770.00
36532 C .... 700.00
36533 CR .... 770.00
36534 C .... 700.00
36535 C .... 700.00
36536 C .... 700.00
36537 C .... 700.00
36538 CR .... 770.00
36539 C .... 700.00
36540 C .... 700.00
36541 CR .... 770.00
36542 C .... 700.00
36543 CR .... 770.00
36544 C .... 700.00
36545 C .... 700.00
36546 C .... 700.00
36547 C .... 700.00
36548 CR .... 770.00
36549 C .... 700.00
36550 C .... 700.00
36551 CR .... 770.00
36552 C .... 700.00
36553 CR .... 770.00
36554 C .... 700.00
36555 C .... 700.00
36556 C .... 700.00
36557 C .... 700.00
36558 CR .... 770.00
36559 C .... 700.00
36560 C .... 700.00
36561 CR .... 770.00
36562 C .... 700.00
36563 CR .... 770.00
36564 C .... 700.00
36565 C .... 700.00
36566 P .... 5,000.00
VENDIDO POR MARIO RAFAEL MUÑOZ TISTA, DE ESTA CAPITAL
36567 P .... 5,000.00
VENDIDO POR PABLO CHIC TUM, DE ESTA CAPITAL
36568 P .... 1,000,000.00
VENDIDO POR ESVIN FERNANDO MEJÍA GUZMÁN, DE BARBERENA, SANTA ROSA
36569 P .... 5,000.00
VENDIDO POR GUADALUPE CRISTINA PACHECO SOCH, DE ESTA CAPITAL
36570 P .... 5,000.00
VENDIDO POR ANA ESPERANZA RAMOS MAZARIEGOS DE CHIROY, DE ESTA CAPITAL
36571 CR .... 770.00
36572 C .... 700.00
36573 CR .... 770.00
36574 C .... 700.00
36575 C .... 700.00
36576 C .... 700.00
36577 C .... 700.00
36578 CR .... 770.00
36579 C .... 700.00
36580 C .... 700.00
36581 CR .... 770.00
36582 C .... 700.00
36583 CR .... 770.00
36584 C .... 700.00
