HEADER
LISTA DEL SORTEO EXTRAORDINARIO NO. 394
|PRIMER PREMIO 59456 ||| SEGUNDO PREMIO 77229 ||| TERCER PREMIO 59179|
REINTEGROS 6,9 ,9
FECHA DEL SORTEO: 19/10/2024 --- FECHA DE CADUCIDAD: 21/04/2025
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00056 DT .... 600.00
00138 P .... 1,200.00
00156 DT .... 600.00
00179 TTR .... 1,050.00
00215 P .... 800.00
00229 TTR .... 1,150.00
00256 DT .... 600.00
00356 DT .... 600.00
00456 TT .... 1,200.00
00556 DT .... 600.00
00656 DT .... 600.00
00756 DT .... 600.00
00856 DT .... 600.00
00956 DT .... 600.00

00MIL
01056 DT .... 600.00
01078 P .... 600.00
01156 DT .... 600.00
01179 TTR .... 1,050.00
01229 TTR .... 1,150.00
01256 DT .... 600.00
01356 DT .... 600.00
01456 TT .... 1,200.00
01556 DT .... 600.00
01656 DT .... 600.00
01756 DT .... 600.00
01856 DT .... 600.00
01956 DT .... 600.00

DOS MIL
02056 DT .... 600.00
02145 P .... 600.00
02156 DT .... 600.00
02179 TTR .... 1,050.00
02229 TTR .... 1,150.00
02256 DT .... 600.00
02356 DT .... 600.00
02456 TT .... 1,200.00
02491 P .... 1,200.00
02556 DT .... 600.00
02656 DT .... 600.00
02678 P .... 800.00
02756 PDT .... 1,900.00
02856 DT .... 600.00
02919 PDR .... 900.00
02956 DT .... 600.00

TRES MIL
03027 P .... 600.00
03056 DT .... 600.00
03156 DT .... 600.00
03179 TTR .... 1,050.00
03223 P .... 1,200.00
03227 P .... 800.00
03229 TTR .... 1,150.00
03256 DT .... 600.00
03356 DT .... 600.00
03456 TT .... 1,200.00
03556 DT .... 600.00
03656 DT .... 600.00
03756 DT .... 600.00
03789 PDR .... 900.00
03856 DT .... 600.00
03956 DT .... 600.00

CUATRO MIL
04010 P .... 1,200.00
04017 P .... 600.00
04056 DT .... 600.00
04073 P .... 600.00
04156 DT .... 600.00
04179 TTR .... 1,050.00
04229 TTR .... 1,150.00
04247 P .... 2,000.00
