HEADER
LISTA DEL SORTEO EXTRAORDINARIO NO. 395
|PRIMER PREMIO 55049 ||| SEGUNDO PREMIO 77155 ||| TERCER PREMIO 04765|
REINTEGROS 9,5 ,5
FECHA DEL SORTEO: 23/11/2024 --- FECHA DE CADUCIDAD: 23/05/2025
VER LISTA DE COMBINACIONES

BODY
CENTENARES
05949 DT .... 600.00

SEIS MIL
06049 TT .... 1,200.00
06054 P .... 800.00
06149 DT .... 600.00
06155 TTR .... 1,150.00
06249 DT .... 600.00
06349 DT .... 600.00
06449 DT .... 600.00
06549 DT .... 600.00
06591 P .... 600.00
06649 DT .... 600.00
06749 DT .... 600.00
06765 TTR .... 1,050.00
06773 P .... 800.00
06849 DT .... 600.00
06949 DT .... 600.00

SIETE MIL
07049 TT .... 1,200.00
07149 DT .... 600.00
07155 TTR .... 1,150.00
07233 P .... 800.00
07249 DT .... 600.00
07349 PDT .... 1,900.00
07449 DT .... 600.00
07549 DT .... 600.00
07580 P .... 600.00
07649 DT .... 600.00
07749 DT .... 600.00
07765 TTR .... 1,050.00
07849 DT .... 600.00
07949 DT .... 600.00

OCHO MIL
08049 TT .... 1,200.00
08067 P .... 600.00
08149 DT .... 600.00
08155 TTR .... 1,150.00
08213 P .... 1,300.00
08249 DT .... 600.00
08349 DT .... 600.00
08449 DT .... 600.00
08458 P .... 1,300.00
08549 DT .... 600.00
08649 DT .... 600.00
08749 DT .... 600.00
08765 TTR .... 1,050.00
08809 PR .... 950.00
08849 DT .... 600.00
08949 DT .... 600.00
08973 P .... 2,000.00
VENDIDO POR CARLOS AUGUSTO DEL CID BARRERA, DE ESTA CAPITAL

NUEVE MIL
09046 P .... 800.00
09049 TT .... 1,200.00
09149 DT .... 600.00
09155 TTR .... 1,150.00
09249 DT .... 600.00
09349 DT .... 600.00
09391 P .... 8,000.00
NO VENDIDO
09449 DT .... 600.00
09467 P .... 800.00
09549 DT .... 600.00
09649 DT .... 600.00
09749 DT .... 600.00
09765 TTR .... 1,050.00
09818 P .... 600.00
09849 DT .... 600.00
09949 DT .... 600.00

DIEZ MIL
10035 PDR .... 900.00
10049 TT .... 1,200.00
10133 P .... 800.00
10149 DT .... 600.00
10155 TTR .... 1,150.00
10249 DT .... 600.00
10349 DT .... 600.00
10350 P .... 800.00
10386 P .... 2,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL BYRON GUSTAVO ALDANA SEGURA, DE VILLA NUEVA, GUATEMALA
10449 DT .... 600.00
10460 P .... 800.00
10549 DT .... 600.00
10649 DT .... 600.00
10749 DT .... 600.00
10765 TTR .... 1,050.00
10849 DT .... 600.00
10875 PDR .... 1,600.00
10930 P .... 800.00
10949 DT .... 600.00
10986 P .... 1,200.00

ONCE MIL
11016 P .... 1,300.00
11049 TT .... 1,200.00
11097 P .... 1,300.00
11149 DT .... 600.00
11155 TTR .... 1,150.00
11185 PDR .... 1,500.00
11249 DT .... 600.00
11349 DT .... 600.00
11392 P .... 800.00
11441 P .... 600.00
11449 DT .... 600.00
11549 DT .... 600.00
11649 DT .... 600.00
11749 DT .... 600.00
11765 TTR .... 1,050.00
11804 P .... 2,000.00
VENDIDO POR LUIS FERNANDO VALLE, DE RETALHULEU, RETALHULEU
11849 DT .... 600.00
11943 P .... 1,300.00
11949 DT .... 600.00

DOCE MIL
12049 TT .... 1,200.00
12149 DT .... 600.00
12155 TTR .... 1,150.00
12249 DT .... 600.00
12330 P .... 800.00
12349 DT .... 600.00
12449 DT .... 600.00
12462 P .... 600.00
12545 PDR .... 1,600.00
12549 DT .... 600.00
12649 DT .... 600.00
12749 DT .... 600.00
12765 TTR .... 1,050.00
12849 DT .... 600.00
12922 P .... 2,000.00
VENDIDO POR ROBERTO MARROQUÍN AYALA, DE ESTA CAPITAL
12949 DT .... 600.00

TRECE MIL
13049 TT .... 1,200.00
13124 P .... 800.00
13149 DT .... 600.00
13155 TTR .... 1,150.00
13249 DT .... 600.00
13288 P .... 1,300.00
13349 DT .... 600.00
13449 DT .... 600.00
13545 PDR .... 2,300.00
VENDIDO POR ISRAEL SALOMÓN VÁSQUEZ VILLATORO, DE ESTA CAPITAL
13549 DT .... 600.00
13564 P .... 600.00
13649 DT .... 600.00
13749 DT .... 600.00
13765 TTR .... 1,050.00
13849 DT .... 600.00
13949 DT .... 600.00

CATORCE MIL
14049 TT .... 1,200.00
14149 DT .... 600.00
14155 TTR .... 1,150.00
14249 DT .... 600.00
14349 DT .... 600.00
14360 P .... 600.00
14446 P .... 800.00
14449 DT .... 600.00
14510 P .... 800.00
14549 DT .... 600.00
14649 DT .... 600.00
14690 P .... 800.00
14707 P .... 600.00
14722 P .... 2,000.00
VENDIDO POR FLORA ESTER CAMPOS PEREZ, DE ESTA CAPITAL
14749 DT .... 600.00
14762 P .... 800.00
14765 TTR .... 1,050.00
14849 DT .... 600.00
14949 DT .... 600.00

QUINCE MIL
15049 TT .... 1,200.00
15122 P .... 800.00
15149 DT .... 600.00
15155 TTR .... 1,150.00
15249 DT .... 600.00
15349 DT .... 600.00
15449 DT .... 600.00
15497 P .... 800.00
15516 P .... 1,200.00
15549 DT .... 600.00
15649 DT .... 600.00
15749 DT .... 600.00
15765 TTR .... 1,050.00
15849 DT .... 600.00
15949 DT .... 600.00

DIECISEIS MIL
16049 TT .... 1,200.00
16149 DT .... 600.00
16155 TTR .... 1,150.00
16249 DT .... 600.00
16319 PR .... 750.00
16349 DT .... 600.00
16378 P .... 2,000.00
VENDIDO POR IRIS FLORIDALMA GARCÍA AROCHE, DE MORALES, IZABAL
16449 DT .... 600.00
16528 P .... 5,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL MARIO SABÁN COSOJAY, DE ESTA CAPITAL
16549 DT .... 600.00
16576 P .... 1,300.00
16594 P .... 1,200.00
16649 DT .... 600.00
16749 DT .... 600.00
16765 TTR .... 1,050.00
16849 DT .... 600.00
16949 DT .... 600.00

DIECISIETE MIL
17049 TT .... 1,200.00
17149 DT .... 600.00
17155 TTR .... 1,150.00
17249 DT .... 600.00
17262 P .... 1,300.00
17274 P .... 1,200.00
17349 DT .... 600.00
17449 DT .... 600.00
17506 P .... 800.00
17544 P .... 1,200.00
17549 DT .... 600.00
17554 P .... 8,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL MARÍA PEREIRA GALVEZ DE RODAS, DE PALENCIA, GUATEMALA
17649 DT .... 600.00
17693 P .... 1,300.00
17749 DT .... 600.00
17765 TTR .... 1,050.00
17849 DT .... 600.00
17949 DT .... 600.00

DIECIOCHO MIL
18049 TT .... 1,200.00
18149 DT .... 600.00
18155 TTR .... 1,150.00
18249 DT .... 600.00
18349 DT .... 600.00
18392 P .... 1,200.00
18449 DT .... 600.00
18515 PDR .... 1,100.00
18529 PR .... 750.00
18549 DT .... 600.00
18649 DT .... 600.00
18661 P .... 1,200.00
18749 DT .... 600.00
18765 TTR .... 1,050.00
18849 DT .... 600.00
18878 P .... 600.00
18949 DT .... 600.00
18998 P .... 8,000.00
VENDIDO POR RIGOBERTO CHAVAJAY SACACH, DE MAZATENANGO, SUCHITEPÉQUEZ

DIECINUEVE MIL
19048 P .... 1,300.00
19049 TT .... 1,200.00
19149 DT .... 600.00
19155 TTR .... 1,150.00
19249 DT .... 600.00
19349 DT .... 600.00
19449 DT .... 600.00
19549 DT .... 600.00
19606 P .... 600.00
19649 DT .... 600.00
19673 P .... 1,300.00
19749 DT .... 600.00
19762 P .... 600.00
19765 TTR .... 1,050.00
19849 DT .... 600.00
19923 P .... 600.00
19949 DT .... 600.00

VEINTE MIL
20049 TT .... 1,200.00
20149 DT .... 600.00
20155 TTR .... 1,150.00
20249 DT .... 600.00
20349 DT .... 600.00
20449 DT .... 600.00
20549 DT .... 600.00
20619 PR .... 950.00
20649 DT .... 600.00
20749 DT .... 600.00
20765 TTR .... 1,050.00
20849 DT .... 600.00
20949 DT .... 600.00

VEINTIUN MIL
21049 TT .... 1,200.00
21149 DT .... 600.00
21155 TTR .... 1,150.00
21215 PDR .... 900.00
21249 DT .... 600.00
21264 P .... 600.00
21349 DT .... 600.00
21437 P .... 800.00
21449 DT .... 600.00
21549 DT .... 600.00
21631 P .... 600.00
21649 DT .... 600.00
21749 DT .... 600.00
21755 PDR .... 15,300.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL ARABIA LIBIA IXQUIAC CHUN, DE ESTA CAPITAL
21765 TTR .... 1,050.00
21849 DT .... 600.00
21876 P .... 1,200.00
21896 P .... 600.00
21949 DT .... 600.00
21995 PDR .... 2,300.00
VENDIDO POR EDUARDO ANIBAL PAREDES GONZÁLEZ, DE EL PROGRESO, JUTIAPA

VEINTIDOS MIL
22049 TT .... 1,200.00
22149 DT .... 600.00
22155 TTR .... 1,150.00
22199 PR .... 950.00
22249 DT .... 600.00
22333 P .... 600.00
22349 DT .... 600.00
22412 P .... 600.00
22449 DT .... 600.00
22549 DT .... 600.00
22649 DT .... 600.00
22749 DT .... 600.00
22765 TTR .... 1,050.00
22768 P .... 600.00
22812 P .... 600.00
22849 DT .... 600.00
22861 P .... 600.00
22920 P .... 800.00
22949 DT .... 600.00

VEINTITRES MIL
23049 TT .... 1,200.00
23149 DT .... 600.00
23155 TTR .... 1,150.00
23249 DT .... 600.00
23349 DT .... 600.00
23449 DT .... 600.00
23549 DT .... 600.00
23649 DT .... 600.00
23749 DT .... 600.00
23765 TTR .... 1,050.00
23837 P .... 800.00
23849 DT .... 600.00
23949 DT .... 600.00

VEINTICUATRO MIL
24038 P .... 1,300.00
24049 TT .... 1,200.00
24072 P .... 600.00
24148 P .... 600.00
24149 DT .... 600.00
24155 TTR .... 1,150.00
24249 DT .... 600.00
24349 DT .... 600.00
24449 DT .... 600.00
24529 PR .... 2,150.00
VENDIDO POR CÉSAR AUGUSTO RODAS SOLÍS, DE COATEPEQUE, QUETZALTENANGO
24549 DT .... 600.00
24649 DT .... 600.00
24722 P .... 600.00
24740 P .... 1,300.00
24749 DT .... 600.00
24765 TTR .... 1,050.00
24849 DT .... 600.00
24949 DT .... 600.00

VEINTICINCO MIL
25049 TT .... 1,200.00
25054 P .... 2,000.00
VENDIDO POR IRIS MARISOL CORDÓN SANDOVAL, DE ZACAPA, ZACAPA
25149 DT .... 600.00
25155 TTR .... 1,150.00
25249 DT .... 600.00
25279 PR .... 950.00
25300 P .... 600.00
25349 DT .... 600.00
25449 DT .... 600.00
25549 DT .... 600.00
25649 DT .... 600.00
25749 DT .... 600.00
25765 TTR .... 1,050.00
25849 DT .... 600.00
25949 DT .... 600.00

VEINTISEIS MIL
26049 TT .... 1,200.00
26064 P .... 600.00
26149 DT .... 600.00
26155 TTR .... 1,150.00
26165 PDR .... 900.00
26207 P .... 600.00
26249 DT .... 600.00
26349 DT .... 600.00
26449 DT .... 600.00
26549 DT .... 600.00
26566 P .... 5,000.00
VENDIDO POR BRIGITTE IVON MORALES CIFUENTES, DE ESTA CAPITAL
26575 PDR .... 1,600.00
26649 DT .... 600.00
26749 DT .... 600.00
26765 TTR .... 1,050.00
26849 DT .... 600.00
26949 DT .... 600.00

VEINTISIETE MIL
27049 TT .... 1,200.00
27080 P .... 5,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL BYRON GUSTAVO ALDANA SEGURA, DE VILLA NUEVA, GUATEMALA
27083 P .... 800.00
27149 DT .... 600.00
27155 TTR .... 1,150.00
27249 DT .... 600.00
